"Earnings after 6 years","Earnings after 8 years","Earnings after 10 years","State","Type","Retention"
0.466,0.521,0.563,"GA","FullTime",0.4902
0.431,0.478,0.508,"GA","FullTime",0.5842
NA,NA,NA,"GA","FullTime",0.25
0.583,0.634,0.682,"GA","FullTime",0.6763
0.513,0.608,0.652,"GA","FullTime",0.7569
0.466,0.539,0.603,"GA","FullTime",0.6842
0.478,0.601,0.59,"GA","FullTime",0.1429
0.354,0.472,0.572,"GA","FullTime",0.7591
0.862,0.883,0.905,"GA","FullTime",0.9707
0.543,0.592,0.654,"GA","FullTime",0.6519
0.669,0.704,0.738,"GA","FullTime",0.8431
0.616,0.702,0.742,"GA","FullTime",0.7945
0.63,0.689,0.725,"GA","FullTime",0.8313
0.719,0.784,0.8,"GA","FullTime",0.9548
0.419,0.51,0.567,"GA","FullTime",0.6277
0.624,0.638,0.698,"GA","FullTime",0.6511
0.55,0.629,0.614,"GA","FullTime",0.5893
0.497,0.575,0.664,"GA","FullTime",0.2308
0.672,0.775,0.794,"GA","FullTime",0.863
0.544,0.62,0.678,"GA","FullTime",0.8372
0.273,0.362,0.504,"GA","FullTime",0.4752
0.694,0.675,0.724,"GA","FullTime",0.6667
0.568,0.619,0.645,"GA","FullTime",0.5927
0.523,0.583,0.62,"GA","FullTime",0.8326
0.398,0.486,0.577,"GA","FullTime",0.5802
0.596,0.689,0.774,"GA","FullTime",0.5268
0.582,0.703,0.757,"GA","FullTime",0.8945
0.611,0.652,0.591,"GA","FullTime",0.5417
0.433,0.5,0.538,"GA","FullTime",0.657
0.38,0.521,0.618,"GA","FullTime",0.6835
0.579,0.65,0.691,"GA","FullTime",0.6871
0.49,0.569,0.554,"GA","FullTime",0.6699
0.581,0.675,0.693,"GA","FullTime",0.7238
0.539,0.616,0.679,"HI","FullTime",0.7734
0.498,0.598,0.619,"HI","FullTime",0.6816
0.639,0.701,0.751,"HI","FullTime",0.7884
0.628,0.741,0.787,"HI","FullTime",0.6459
0.684,0.661,0.655,"HI","FullTime",0.6541
0.443,0.456,0.508,"ID","FullTime",0.8095
0.569,0.629,0.668,"ID","FullTime",0.7975
0.553,0.595,0.633,"ID","FullTime",0.6458
0.59,0.671,0.734,"ID","FullTime",0.8167
0.549,0.667,0.719,"ID","FullTime",0.7764
0.557,0.61,0.622,"ID","FullTime",0.5718
0.566,0.671,0.679,"ID","FullTime",0.7946
0.544,0.623,0.666,"ID","FullTime",0.7244
0.417,0.449,0.557,"IL","FullTime",0.75
NA,NA,NA,"IL","FullTime",0.5
0.455,0.558,0.583,"IL","FullTime",0.8077
0.754,0.807,0.853,"IL","FullTime",0.8651
0.712,0.752,0.745,"IL","FullTime",0.7347
0.509,0.613,0.69,"IL","FullTime",0.5562
0.528,0.553,0.596,"IL","FullTime",0.6053
0.478,0.575,0.604,"IL","FullTime",0.6595
0.734,0.776,0.793,"IL","FullTime",0.8356
0.645,0.702,0.767,"IL","FullTime",0.7468
0.557,0.645,0.663,"IL","FullTime",0.7273
0.695,0.779,0.809,"IL","FullTime",0.7982
0.697,0.76,0.773,"IL","FullTime",0.7283
0.78,0.834,0.87,"IL","FullTime",0.9245
0.543,0.67,0.706,"IL","FullTime",0.5
0.765,0.79,0.818,"IL","FullTime",0.8064
0.644,0.696,0.713,"IL","FullTime",0.7175
0.567,0.645,0.696,"IL","FullTime",0.4828
0.698,0.789,0.796,"IL","FullTime",0.852
0.721,0.777,0.798,"IL","FullTime",0.8037
0.417,0.543,0.571,"IL","FullTime",0.8228
0.755,0.816,0.834,"IL","FullTime",0.8317
0.895,0.842,NA,"IL","FullTime",0.8421
0.471,NA,NA,"IL","FullTime",0.8327
0.684,0.725,0.732,"IL","FullTime",0.6837
0.664,0.746,0.768,"IL","FullTime",0.7315
0.595,0.64,0.669,"IL","FullTime",0.4641
0.481,0.552,0.603,"IL","FullTime",0.5156
0.544,0.583,0.582,"IL","FullTime",0.5073
0.662,0.694,0.74,"IL","FullTime",0.6399
0.659,0.72,0.778,"IL","FullTime",0.7763
0.603,0.682,0.74,"IL","FullTime",0.6723
0.677,0.732,0.756,"IL","FullTime",0.7306
0.603,0.637,0.701,"IL","FullTime",0.6735
0.662,0.717,0.756,"IL","FullTime",0.6783
0.578,0.677,0.677,"IN","FullTime",0.7281
0.651,0.704,0.746,"IN","FullTime",0.7825
0.606,0.645,0.678,"IN","FullTime",0.7924
0.812,0.845,0.85,"IN","FullTime",0.8884
0.598,0.668,0.685,"IN","FullTime",0.495
0.583,0.649,0.667,"IN","FullTime",0.4512
0.59,0.663,0.661,"IN","FullTime",0.801
0.565,0.626,0.657,"IN","FullTime",0.5822
0.682,0.715,0.736,"IN","FullTime",0.752
0.375,0.399,0.419,"IN","FullTime",0.5
0.673,0.714,0.719,"IN","FullTime",0.7525
0.641,0.724,0.758,"IN","FullTime",0.605
0.571,0.622,0.675,"IN","FullTime",0.7049
0.595,0.665,0.715,"IN","FullTime",0.6785
0.595,0.639,0.67,"IN","FullTime",0.603
0.532,0.623,0.639,"IN","FullTime",0.6574
0.725,0.768,0.793,"IN","FullTime",0.9136
0.527,0.597,0.639,"IN","FullTime",0.6856
