"Earnings after 6 years","Earnings after 8 years","Earnings after 10 years","State","Type","Retention"
0.494,0.615,0.645,"WV","FullTime",0.712
0.615,0.704,0.758,"WV","FullTime",0.6254
0.615,0.704,0.758,"WV","FullTime",0.7956
0.651,0.697,0.693,"WI","FullTime",0.7099
0.731,0.798,0.79,"WI","FullTime",0.7683
0.732,0.766,0.782,"WI","FullTime",0.7931
0.684,0.759,0.765,"WI","FullTime",0.7756
0.691,0.741,0.743,"WI","FullTime",0.8174
0.689,0.702,0.745,"WI","FullTime",0.7031
0.537,0.614,0.57,"WI","FullTime",0.6667
0.834,0.87,0.888,"WI","FullTime",0.8926
0.886,0.909,0.904,"WI","FullTime",0.8473
0.737,0.804,0.824,"WI","FullTime",0.8268
0.342,0.404,0.419,"WI","FullTime",0.5
0.688,0.733,0.772,"WI","FullTime",0.7817
0.731,0.789,0.82,"WI","FullTime",0.8168
0.656,0.705,0.767,"WI","FullTime",0.7254
0.737,0.827,0.84,"WI","FullTime",0.8334
0.709,0.761,0.783,"WI","FullTime",0.768
0.557,0.624,0.696,"WI","FullTime",0.7271
0.497,0.575,0.664,"WI","FullTime",0.5
0.737,0.784,0.793,"WI","FullTime",0.685
0.592,0.66,0.677,"WI","FullTime",0.7224
0.789,0.835,0.858,"WI","FullTime",0.9534
0.678,0.739,0.766,"WI","FullTime",0.7421
0.738,0.786,0.799,"WI","FullTime",0.7889
0.686,0.721,0.76,"WI","FullTime",0.7509
0.65,0.707,0.758,"WI","FullTime",0.7447
0.685,0.742,0.767,"WY","FullTime",0.783
0.361,0.465,0.557,"GU","FullTime",0.7222
0.146,0.282,0.35,"MP","FullTime",0.7391
0.175,0.227,0.363,"PR","FullTime",0.6667
0.292,0.379,0.399,"PR","FullTime",0.7273
0.155,0.249,0.336,"PR","FullTime",0.7248
0.19,0.207,0.23,"PR","FullTime",0.4778
0.466,0.548,0.541,"PR","FullTime",1
0.179,0.238,0.235,"PR","FullTime",0.6494
0.179,0.238,0.235,"PR","FullTime",0.7273
0.178,0.191,0.249,"PR","FullTime",0.6974
0.178,0.191,0.249,"PR","FullTime",0.7701
0.314,0.323,0.414,"PR","FullTime",0.7
0.226,0.24,0.274,"PR","FullTime",0.7192
0.175,0.203,0.246,"PR","FullTime",0.9565
0.146,0.234,0.231,"PR","FullTime",0.9
0.218,0.249,0.285,"PR","FullTime",0.7952
0.218,0.249,0.285,"PR","FullTime",0.7704
0.218,0.249,0.285,"PR","FullTime",0.7337
0.218,0.249,0.285,"PR","FullTime",0.7407
0.218,0.249,0.285,"PR","FullTime",0.7243
0.218,0.249,0.285,"PR","FullTime",0.7556
0.218,0.249,0.285,"PR","FullTime",0.772
0.218,0.249,0.285,"PR","FullTime",0.7075
0.218,0.249,0.285,"PR","FullTime",0.7632
0.198,0.201,0.22,"PR","FullTime",0.6125
0.596,NA,NA,"PR","FullTime",0.8808
0.356,NA,NA,"PR","FullTime",0.7748
0.211,0.244,0.297,"PR","FullTime",0.7248
0.268,0.274,0.299,"PR","FullTime",0.7665
0.379,0.493,0.534,"PR","FullTime",0.8892
0.178,0.191,0.249,"PR","FullTime",0.699
0.227,0.265,0.298,"PR","FullTime",0.7722
0.407,0.571,0.594,"VI","FullTime",0.6713
0.779,0.807,0.839,"IN","FullTime",0.9144
0.577,0.631,0.675,"TX","FullTime",0.8
0.206,0.225,0.281,"PR","FullTime",0.3333
0.364,0.387,0.43,"VT","FullTime",0.9
0.478,0.601,0.59,"SC","FullTime",0.0909
0.432,0.514,0.595,"IA","FullTime",0.3333
0.728,NA,NA,"CA","FullTime",0.6667
0.179,0.238,0.235,"PR","FullTime",0.6765
0.59,0.722,0.771,"AZ","FullTime",0.6456
0.639,0.71,0.731,"PA","FullTime",0.7963
0.198,0.211,0.327,"MT","FullTime",0.5476
0.667,0.733,0.766,"CA","FullTime",0.7934
0.543,0.67,0.706,"HI","FullTime",0.3333
0.495,0.571,0.639,"FL","FullTime",0.5333
0.543,0.67,0.706,"GA","FullTime",0.3333
0.755,0.801,0.832,"WA","FullTime",0.8791
0.755,0.801,0.832,"WA","FullTime",0.757
0.345,0.336,0.496,"WA","FullTime",0.7
0.437,0.442,0.414,"UT","FullTime",0.8772
0.497,0.575,0.664,"FL","FullTime",1
0.528,0.638,0.635,"TX","FullTime",0.2
0.444,0.578,0.612,"TN","FullTime",0.6512
0.407,0.556,0.659,"CA","FullTime",0.6429
0.696,0.749,0.787,"AZ","FullTime",0.8802
0.34,0.39,0.414,"FL","FullTime",0.9718
0.403,0.495,0.539,"TX","FullTime",0.6957
0.58,0.692,0.742,"CA","FullTime",0.7897
0.543,0.67,0.706,"CA","FullTime",0.7073
0.688,0.783,0.809,"MN","FullTime",0.5
0.59,0.638,0.688,"FL","FullTime",0.6883
0.672,0.714,0.769,"IN","FullTime",0.5
0.696,0.749,0.787,"AZ","FullTime",0.8515
0.543,0.67,0.706,"IL","FullTime",1
0.358,0.374,0.622,"NJ","FullTime",0.7755
0.77,0.825,0.854,"FL","FullTime",0.5185
0.481,0.552,0.603,"IL","FullTime",0.5111
0.447,0.589,0.529,"AZ","FullTime",0.2772
0.59,0.679,0.744,"MD","FullTime",0.6667
0.354,0.445,0.449,"NH","FullTime",0.6719
0.497,0.575,0.664,"LA","FullTime",0.3
0.641,0.745,0.724,"FL","FullTime",0.7926
0.543,0.67,0.706,"AZ","FullTime",0.3333
0.543,0.67,0.706,"CA","FullTime",0.5
0.771,0.828,0.859,"CT","FullTime",0.8512
0.771,0.828,0.859,"CT","FullTime",0.8616
0.771,0.828,0.859,"CT","FullTime",0.8423
NA,NA,NA,"VA","FullTime",0.875
0.281,0.321,0.367,"AZ","FullTime",0.9
0.602,0.568,0.594,"VA","FullTime",0.25
0.496,0.566,0.63,"GA","FullTime",0.2857
0.533,0.519,0.586,"IN","FullTime",0.5
0.408,0.494,0.548,"VA","FullTime",0.5135
0.116,0.126,0.122,"PR","FullTime",0.7174
0.59,0.655,NA,"NJ","FullTime",0.7083
0.689,0.75,0.782,"OR","FullTime",0.7917
0.239,NA,0.25,"PR","FullTime",1
0.726,0.763,NA,"NV","FullTime",0.7148
0.64,0.707,0.76,"CA","FullTime",0.7938
0.543,0.67,0.706,"CA","FullTime",0.3871
0.543,0.67,0.706,"TX","FullTime",0
0.798,0.791,0.812,"PA","FullTime",0.6364
0.275,0.286,0.395,"MO","FullTime",0.8
NA,NA,NA,"KS","FullTime",0.3916
0.7,0.781,0.841,"WA","FullTime",0.8083
0.18,0.206,0.237,"PR","FullTime",0.6098
0.59,0.679,0.744,"TN","FullTime",0.6667
0.59,0.679,0.744,"PA","FullTime",0.5
0.281,0.321,0.367,"NM","FullTime",0.75
0.356,NA,NA,"TX","FullTime",0.3158
0.496,0.566,0.63,"IL","FullTime",0.3889
0.496,0.566,0.63,"TX","FullTime",0.2857
0.645,NA,NA,"CA","FullTime",0.8053
0.59,0.679,0.712,"MO","FullTime",0
0.59,0.638,0.688,"NC","FullTime",0.6733
0.544,0.668,0.6,"FL","FullTime",0.6842
0.491,0.569,NA,"PA","FullTime",0.6692
0.417,0.441,0.528,"UT","FullTime",0.4054
0.589,NA,NA,"GA","FullTime",0.6727
0.41,NA,NA,"CA","FullTime",0.85
0.447,0.589,0.529,"IN","FullTime",0.5517
0.358,0.374,0.622,"NJ","FullTime",0.8065
0.543,0.67,0.706,"CA","FullTime",0.7368
0.543,0.67,0.706,"CO","FullTime",0.3333
0.673,0.719,0.754,"FL","FullTime",0.7751
0.696,0.749,0.787,"AZ","FullTime",0.8588
0.408,0.494,0.548,"TN","FullTime",0.0962
0.59,0.679,0.744,"FL","FullTime",0.75
0.701,0.774,0.833,"WV","FullTime",0.925
0.478,0.601,0.59,"FL","FullTime",0.8
0.65,0.703,0.742,"VA","FullTime",1
0.408,0.494,0.548,"SC","FullTime",0.25
0.543,0.67,0.706,"CA","FullTime",0.1613
0.59,0.679,0.744,"DE","FullTime",0
0.59,0.679,0.744,"AL","FullTime",0.25
0.543,0.67,0.706,"TN","FullTime",0
0.543,0.67,0.706,"CA","FullTime",0.3333
0.8,0.887,NA,"AL","FullTime",0.4952
0.785,0.793,NA,"CA","FullTime",0.2317
0.444,0.532,0.586,"PA","FullTime",0.3765
0.673,0.719,0.754,"FL","FullTime",0.8125
0.481,0.552,0.603,"MI","FullTime",0.225
0.485,0.587,0.601,"TX","FullTime",0.5775
0.478,0.601,0.59,"NC","FullTime",0.5849
0.59,0.679,0.744,"NC","FullTime",0.8333
0.59,0.679,0.744,"NJ","FullTime",0
0.902,0.892,0.859,"IL","FullTime",0.75
0.902,0.892,0.859,"AZ","FullTime",0.5
0.543,0.67,0.706,"AZ","FullTime",0.3586
0.379,0.493,0.534,"FL","FullTime",1
0.379,0.493,0.534,"FL","FullTime",0.5
NA,NA,NA,"VA","FullTime",0.3333
0.408,0.494,0.548,"VA","FullTime",0.5789
0.59,0.679,0.744,"AR","FullTime",1
0.59,0.679,0.744,"GA","FullTime",0.5556
0.59,0.679,0.744,"SC","FullTime",0.6667
0.59,0.679,0.744,"TX","FullTime",0.4167
0.485,0.587,0.601,"TX","FullTime",0.4643
0.407,0.476,0.502,"UT","FullTime",0.3
0.478,0.601,0.59,"VA","FullTime",0.6667
0.478,0.601,0.59,"VA","FullTime",0.2857
NA,NA,NA,"CA","FullTime",0.7778
0.497,0.575,0.664,"WI","FullTime",0.5
NA,NA,NA,"TX","FullTime",0.7126
0.59,0.679,0.744,"DC","FullTime",0.75
0.59,0.638,0.688,"RI","FullTime",0.3333
NA,NA,NA,"VA","FullTime",0.1111
0.902,0.892,0.859,"VA","FullTime",1
NA,NA,NA,"AZ","FullTime",0.4545
NA,NA,NA,"NC","FullTime",0
NA,NA,NA,"GA","FullTime",0.5
NA,NA,NA,"NC","FullTime",1
NA,NA,NA,"KY","FullTime",0.4091
NA,NA,NA,"TX","FullTime",0.4574
NA,NA,NA,"FL","FullTime",0.5833
NA,NA,NA,"CA","FullTime",0.8082
NA,NA,NA,"CT","FullTime",0.8229
0.902,0.892,0.859,"MO","FullTime",0.5
0.902,0.892,0.859,"TX","FullTime",1
0.478,0.601,0.59,"MI","FullTime",0.6667
0.689,0.73,0.759,"CA","FullTime",0.75
0.478,0.601,0.59,"GA","FullTime",0.3033
NA,NA,NA,"TX","FullTime",0.9167
0.902,0.892,0.859,"IN","FullTime",1
0.702,0.768,0.791,"PA","FullTime",0.5443
0.432,0.514,0.595,"ME","FullTime",0.5
0.478,0.601,0.59,"TX","FullTime",0.3684
0.478,0.601,0.59,"OH","FullTime",0.25
NA,NA,NA,"CA","FullTime",0.8
0.478,0.601,0.59,"NC","FullTime",0.5
0.82,0.89,0.869,"GA","FullTime",0.7252
0.457,0.508,0.579,"GA","FullTime",0.6505
0.579,0.656,0.72,"NY","FullTime",0.52
0.579,0.656,0.72,"AZ","FullTime",0.5
0.579,0.656,0.72,"CA","FullTime",0.4545
0.579,0.656,0.72,"CO","FullTime",0.7143
0.579,0.656,0.72,"FL","FullTime",0.6923
0.579,0.656,0.72,"GA","FullTime",0.375
0.579,0.656,0.72,"IL","FullTime",0.5128
0.579,0.656,0.72,"MO","FullTime",0.375
0.579,0.656,0.72,"NV","FullTime",1
0.579,0.656,0.72,"NJ","FullTime",0.381
0.579,0.656,0.72,"NC","FullTime",0.5
0.579,0.656,0.72,"OH","FullTime",0.3077
0.579,0.656,0.72,"PA","FullTime",0.6
0.579,0.656,0.72,"TX","FullTime",0.4
0.579,0.656,0.72,"VA","FullTime",0.6
0.649,0.723,0.749,"GA","FullTime",0.8093
0.696,0.749,0.787,"AZ","FullTime",0.7347
0.735,0.797,0.832,"FL","FullTime",0.8582
0.678,0.73,0.759,"TX","FullTime",0.7656
NA,NA,NA,"FL","FullTime",0.9032
NA,NA,NA,"FL","FullTime",0.3889
NA,NA,NA,"CA","FullTime",1
NA,NA,NA,"GA","FullTime",0.783
NA,NA,NA,"TN","FullTime",0.7604
NA,NA,NA,"NV","FullTime",0.6667
NA,NA,NA,"NV","FullTime",0.9048
NA,NA,NA,"ME","FullTime",0.7653
NA,NA,NA,"WA","FullTime",0.6508
NA,NA,NA,"NC","FullTime",0.6087
NA,NA,NA,"CA","FullTime",0.3333
NA,NA,NA,"CA","FullTime",0.5
NA,NA,NA,"IN","FullTime",0.6819
0.431,0.483,0.567,"AL","PartTime",0.1316
0.631,0.686,0.726,"AL","PartTime",0.4384
0.542,0.631,0.7,"AL","PartTime",0.1176
0.649,0.71,0.755,"AL","PartTime",0.375
0.351,0.436,0.494,"AL","PartTime",0.35
0.679,0.722,0.765,"AL","PartTime",0.5556
0.546,0.615,0.62,"AL","PartTime",0.4571
0.726,0.775,0.803,"AL","PartTime",0.8718
0.307,0.374,0.346,"AL","PartTime",0.25
0.478,0.601,0.59,"AL","PartTime",0
0.532,0.596,0.619,"AL","PartTime",0.375
0.497,0.575,0.664,"AL","PartTime",0.5
0.515,0.581,0.643,"AL","PartTime",0.3462
0.402,0.427,0.469,"AL","PartTime",0
0.473,0.531,0.673,"AL","PartTime",0.75
0.33,0.405,0.466,"AL","PartTime",0
0.485,0.583,0.625,"AL","PartTime",0.5
0.516,0.572,0.688,"AL","PartTime",0.5789
0.381,0.494,0.543,"AL","PartTime",1
0.562,0.636,0.666,"AL","PartTime",0.6098
0.362,0.421,0.505,"AL","PartTime",0.25
0.314,0.372,0.323,"AL","PartTime",1
0.549,0.604,0.66,"AL","PartTime",0.368
0.512,0.607,0.621,"AL","PartTime",1
0.649,0.678,0.714,"AK","PartTime",0.5101
0.55,0.6,0.646,"AK","PartTime",0.6429
0.575,0.605,0.624,"AK","PartTime",0.1667
0.601,0.634,0.675,"AK","PartTime",1
0.281,0.321,0.367,"AZ","PartTime",0.496
0.696,0.749,0.787,"AZ","PartTime",0.5333
0.675,0.724,0.78,"AZ","PartTime",0.6179
0.77,0.825,0.854,"AZ","PartTime",0.6
0.507,0.664,0.79,"AZ","PartTime",0.3909
0.634,0.682,0.723,"AZ","PartTime",0.4983
0.562,0.594,0.619,"AR","PartTime",0.4324
0.669,0.741,0.759,"AR","PartTime",0.6207
0.348,0.424,0.485,"AR","PartTime",0.2222
0.489,0.555,0.582,"AR","PartTime",0.2571
0.516,0.594,0.626,"AR","PartTime",0.4286
0.417,0.472,0.557,"AR","PartTime",0.4
0.534,0.626,0.675,"AR","PartTime",0.6154
0.607,0.673,0.706,"AR","PartTime",0.6667
0.47,0.624,0.669,"AR","PartTime",0
0.576,0.649,0.716,"AR","PartTime",1
0.373,0.418,0.42,"AR","PartTime",0.0909
0.512,0.621,0.649,"AR","PartTime",0.375
0.503,0.554,0.556,"AR","PartTime",0.5429
0.479,0.565,0.632,"CA","PartTime",0.3431
0.689,0.73,0.759,"CA","PartTime",0.6
0.619,0.675,0.717,"CA","PartTime",0.6667
0.596,0.67,0.685,"CA","PartTime",0.4483
0.787,0.836,0.86,"CA","PartTime",0.875
0.636,0.71,0.75,"CA","PartTime",0.411
0.616,0.673,0.743,"CA","PartTime",0.339
0.594,0.665,0.726,"CA","PartTime",0.6727
0.69,0.754,0.805,"CA","PartTime",0.568
0.66,0.725,0.77,"CA","PartTime",0.5833
0.593,0.65,0.735,"CA","PartTime",0.3415
0.579,0.681,0.74,"CA","PartTime",0.5745
0.639,0.711,0.761,"CA","PartTime",0.6447
0.684,0.738,0.79,"CA","PartTime",0.5
0.645,0.718,0.762,"CA","PartTime",0.6636
0.606,0.689,0.747,"CA","PartTime",0.4452
0.6,0.678,0.739,"CA","PartTime",0.5526
0.676,0.749,0.782,"CA","PartTime",0.6625
0.747,0.806,0.842,"CA","PartTime",0.8889
0.69,0.778,0.843,"CA","PartTime",0.7952
0.705,0.776,0.817,"CA","PartTime",0.6364
0.717,0.798,0.831,"CA","PartTime",0.8
0.609,0.717,0.791,"CA","PartTime",0.6154
0.727,0.799,0.837,"CA","PartTime",0.6471
0.671,0.756,0.805,"CA","PartTime",0.7143
0.604,0.688,0.746,"CA","PartTime",0.1176
0.876,0.858,0.866,"CA","PartTime",0.6
0.708,0.768,0.781,"CA","PartTime",0.6
0.645,0.654,0.732,"CA","PartTime",0
0.528,0.672,0.771,"CA","PartTime",0.9091
0.402,0.545,0.562,"CA","PartTime",1
0.587,0.62,0.689,"CA","PartTime",0
0.724,0.732,0.774,"CA","PartTime",1
0.613,0.635,0.631,"CA","PartTime",0.7143
0.397,0.431,0.513,"CA","PartTime",0
0.614,0.659,0.709,"CA","PartTime",1
0.642,0.71,0.805,"CA","PartTime",0
0.459,0.561,0.618,"CA","PartTime",0.3846
0.51,0.57,0.572,"CA","PartTime",0
0.543,0.67,0.706,"CA","PartTime",0.6667
0.454,0.548,0.576,"CA","PartTime",0.5
0.543,0.67,0.706,"CA","PartTime",0.1111
0.736,0.813,0.822,"CA","PartTime",0.6667
0.784,0.8,0.791,"CA","PartTime",0
0.387,0.464,0.523,"CA","PartTime",1
0.76,0.792,0.807,"CA","PartTime",0.4149
0.693,0.737,0.8,"CA","PartTime",1
0.542,0.639,0.635,"CA","PartTime",0.3333
0.66,0.747,0.769,"CA","PartTime",0
0.785,0.835,0.854,"CA","PartTime",0.5
0.722,0.774,0.781,"CA","PartTime",1
0.676,0.747,0.796,"CA","PartTime",0.6679
0.472,0.542,0.545,"CA","PartTime",1
0.664,0.728,0.769,"CA","PartTime",0.5225
0.769,0.807,0.836,"CA","PartTime",0.3333
0.598,0.631,0.668,"CA","PartTime",0
0.714,0.763,0.812,"CA","PartTime",0.7133
0.837,0.888,0.885,"CA","PartTime",0
0.557,0.572,0.606,"CA","PartTime",1
0.662,0.717,0.766,"CA","PartTime",0.6563
0.606,0.658,0.691,"CA","PartTime",0
0.798,0.834,0.856,"CA","PartTime",0.5
0.488,0.451,0.441,"CA","PartTime",0.4444
0.6,0.678,0.767,"CA","PartTime",0.5
0.608,0.704,0.731,"CA","PartTime",0
0.464,0.548,0.626,"CO","PartTime",0
0.717,0.779,0.805,"CO","PartTime",0.4419
0.639,0.676,0.728,"CO","PartTime",0.4215
0.691,0.74,0.792,"CO","PartTime",0.6279
0.61,0.645,0.695,"CO","PartTime",0.297
0.467,0.53,0.591,"CO","PartTime",0.3
0.515,0.557,0.606,"CO","PartTime",0.3881
0.901,0.871,0.89,"CO","PartTime",0
0.68,0.731,0.782,"CO","PartTime",0.6264
0.498,0.567,0.686,"CO","PartTime",0.2815
0.478,0.513,0.558,"CO","PartTime",0.3852
0.739,0.803,0.829,"CO","PartTime",0.4545
0.502,0.555,0.631,"CO","PartTime",0.4
0.556,0.61,0.652,"CO","PartTime",0.3333
0.623,0.657,0.694,"CO","PartTime",0.4667
0.23,0.286,0.392,"CO","PartTime",1
0.518,0.57,0.513,"CO","PartTime",0.25
0.64,0.712,0.763,"CO","PartTime",0.0833
0.426,0.469,0.494,"CO","PartTime",0.3933
0.54,0.575,0.639,"CO","PartTime",0.3993
0.473,0.495,0.578,"CO","PartTime",0.3333
0.624,0.684,0.664,"CO","PartTime",0.2
0.526,0.581,0.668,"CO","PartTime",0
0.694,0.801,0.769,"CT","PartTime",0.3333
0.53,0.58,0.603,"CT","PartTime",1
0.571,0.671,0.696,"CT","PartTime",0.6667
0.704,0.754,0.786,"CT","PartTime",0.6364
0.711,0.753,0.619,"CT","PartTime",0.5
0.771,0.828,0.859,"CT","PartTime",0.6429
0.664,0.742,0.775,"CT","PartTime",0.6667
0.663,0.733,0.766,"CT","PartTime",0.25
NA,NA,NA,"CT","PartTime",0.6
0.429,0.503,0.568,"CT","PartTime",1
0.7,0.776,0.84,"CT","PartTime",0.4
0.519,0.493,0.536,"CT","PartTime",1
0.603,0.625,0.705,"CT","PartTime",0.2077
0.838,0.878,0.888,"CT","PartTime",0.1667
0.706,0.764,0.805,"CT","PartTime",1
0.668,0.735,0.765,"CT","PartTime",0.2308
0.649,0.729,0.761,"CT","PartTime",0.375
0.504,0.597,0.659,"DE","PartTime",0.0952
0.785,0.847,0.861,"DE","PartTime",1
0.643,0.703,0.772,"DE","PartTime",0.5
0.69,0.722,0.736,"DE","PartTime",0.2789
0.761,0.822,0.838,"DC","PartTime",0
0.528,0.552,0.597,"DC","PartTime",0.375
0.81,0.869,0.878,"DC","PartTime",0.75
0.64,0.729,0.762,"DC","PartTime",1
0.59,0.679,0.744,"DC","PartTime",0.4194
0.577,0.623,0.663,"DC","PartTime",0.4286
0.458,0.516,0.536,"FL","PartTime",0
0.454,0.573,0.57,"FL","PartTime",0
0.694,0.738,0.765,"FL","PartTime",1
0.384,0.489,0.535,"FL","PartTime",0.3333
0.604,0.653,0.664,"FL","PartTime",0.4286
0.466,0.548,0.541,"FL","PartTime",0
0.68,0.741,0.777,"FL","PartTime",0.7982
0.478,0.601,0.59,"FL","PartTime",0.4
0.544,0.682,0.71,"FL","PartTime",0.2
0.77,0.825,0.854,"FL","PartTime",0.4444
0.467,0.595,0.684,"FL","PartTime",0.5714
0.658,0.713,0.744,"FL","PartTime",0.6434
0.794,0.815,0.821,"FL","PartTime",0.5556
0.656,0.751,0.828,"FL","PartTime",0.5
0.684,0.731,0.764,"FL","PartTime",0.768
0.659,0.71,0.736,"FL","PartTime",0.4
0.672,0.752,0.787,"FL","PartTime",0.7941
0.735,0.797,0.832,"FL","PartTime",0.8125
0.438,0.493,0.552,"FL","PartTime",0.2632
0.713,0.739,0.789,"FL","PartTime",0.7143
0.5,0.552,0.565,"FL","PartTime",0.6894
0.68,0.66,0.732,"GA","PartTime",0.5
0.745,0.822,0.83,"FL","PartTime",0.875
0.667,0.736,0.754,"FL","PartTime",0.55
0.708,0.739,0.744,"FL","PartTime",0.25
0.618,0.68,0.695,"FL","PartTime",0.25
0.673,0.719,0.754,"FL","PartTime",0.7742
0.606,0.706,0.722,"FL","PartTime",1
0.535,0.598,0.641,"FL","PartTime",0.3721
0.693,0.759,0.795,"FL","PartTime",1
0.36,0.512,0.574,"FL","PartTime",1
0.609,0.668,0.679,"FL","PartTime",0.25
0.574,0.643,0.712,"FL","PartTime",0.7647
0.459,0.553,0.585,"GA","PartTime",0.2857
0.42,0.556,0.598,"GA","PartTime",0.2857
0.604,0.701,0.699,"GA","PartTime",0.5833
0.408,0.494,0.548,"GA","PartTime",0.24
0.487,0.526,0.59,"GA","PartTime",0.5
0.352,0.403,0.5,"GA","PartTime",0.25
0.469,0.536,0.637,"GA","PartTime",0.25
0.438,0.426,0.518,"GA","PartTime",0.8571
0.684,0.698,0.753,"GA","PartTime",0.24
0.466,0.521,0.563,"GA","PartTime",0.8
0.431,0.478,0.508,"GA","PartTime",0.5493
NA,NA,NA,"GA","PartTime",0
0.583,0.634,0.682,"GA","PartTime",0.6292
0.513,0.608,0.652,"GA","PartTime",0.5161
0.466,0.539,0.603,"GA","PartTime",0.5556
0.478,0.601,0.59,"GA","PartTime",0.2
0.354,0.472,0.572,"GA","PartTime",0.3846
0.862,0.883,0.905,"GA","PartTime",0.6667
0.543,0.592,0.654,"GA","PartTime",0.6667
0.669,0.704,0.738,"GA","PartTime",0
0.616,0.702,0.742,"GA","PartTime",0.4
0.63,0.689,0.725,"GA","PartTime",0.5253
0.719,0.784,0.8,"GA","PartTime",0.8438
0.419,0.51,0.567,"GA","PartTime",0.5
0.624,0.638,0.698,"GA","PartTime",0.5
0.55,0.629,0.614,"GA","PartTime",0.875
0.497,0.575,0.664,"GA","PartTime",0.6667
0.672,0.775,0.794,"GA","PartTime",0.6071
0.544,0.62,0.678,"GA","PartTime",0
0.273,0.362,0.504,"GA","PartTime",0
0.694,0.675,0.724,"GA","PartTime",1
0.568,0.619,0.645,"GA","PartTime",0.6667
0.523,0.583,0.62,"GA","PartTime",0.6907
0.398,0.486,0.577,"GA","PartTime",0.2456
0.596,0.689,0.774,"GA","PartTime",0.5
0.582,0.703,0.757,"GA","PartTime",0
0.611,0.652,0.591,"GA","PartTime",0
0.433,0.5,0.538,"GA","PartTime",0.375
0.38,0.521,0.618,"GA","PartTime",1
0.579,0.65,0.691,"GA","PartTime",0.425
0.49,0.569,0.554,"GA","PartTime",0
0.581,0.675,0.693,"GA","PartTime",0.3898
0.539,0.616,0.679,"HI","PartTime",0.5455
0.498,0.598,0.619,"HI","PartTime",0.4
0.639,0.701,0.751,"HI","PartTime",0.5652
0.628,0.741,0.787,"HI","PartTime",0.5385
0.684,0.661,0.655,"HI","PartTime",0.3846
0.443,0.456,0.508,"ID","PartTime",0
0.569,0.629,0.668,"ID","PartTime",0.4412
0.553,0.595,0.633,"ID","PartTime",0.3913
0.59,0.671,0.734,"ID","PartTime",0.3929
0.549,0.667,0.719,"ID","PartTime",0
0.557,0.61,0.622,"ID","PartTime",0.3571
0.566,0.671,0.679,"ID","PartTime",1
0.544,0.623,0.666,"ID","PartTime",0.5212
0.417,0.449,0.557,"IL","PartTime",0.5789
NA,NA,NA,"IL","PartTime",1
0.455,0.558,0.583,"IL","PartTime",0
0.754,0.807,0.853,"IL","PartTime",1
0.712,0.752,0.745,"IL","PartTime",0
0.509,0.613,0.69,"IL","PartTime",1
0.528,0.553,0.596,"IL","PartTime",0.6
0.478,0.575,0.604,"IL","PartTime",0.1818
0.734,0.776,0.793,"IL","PartTime",0.3333
0.645,0.702,0.767,"IL","PartTime",0.5
0.557,0.645,0.663,"IL","PartTime",0.5
0.695,0.779,0.809,"IL","PartTime",0.4167
0.697,0.76,0.773,"IL","PartTime",0.4
0.78,0.834,0.87,"IL","PartTime",0.5455
0.543,0.67,0.706,"IL","PartTime",0.1429
0.765,0.79,0.818,"IL","PartTime",0.75
0.644,0.696,0.713,"IL","PartTime",0.5714
0.567,0.645,0.696,"IL","PartTime",0.5
0.698,0.789,0.796,"IL","PartTime",0.5
0.721,0.777,0.798,"IL","PartTime",0
0.417,0.543,0.571,"IL","PartTime",0.5
0.755,0.816,0.834,"IL","PartTime",1
0.895,0.842,NA,"IL","PartTime",0
0.471,NA,NA,"IL","PartTime",0.3333
0.684,0.725,0.732,"IL","PartTime",0.5
0.664,0.746,0.768,"IL","PartTime",0.4444
0.595,0.64,0.669,"IL","PartTime",0.2941
0.481,0.552,0.603,"IL","PartTime",0.4524
0.544,0.583,0.582,"IL","PartTime",0
0.662,0.694,0.74,"IL","PartTime",1
0.659,0.72,0.778,"IL","PartTime",0.4
0.603,0.682,0.74,"IL","PartTime",0.4286
0.677,0.732,0.756,"IL","PartTime",0.1429
0.603,0.637,0.701,"IL","PartTime",0.3125
0.662,0.717,0.756,"IL","PartTime",0.3065
0.578,0.677,0.677,"IN","PartTime",0.5
0.651,0.704,0.746,"IN","PartTime",0.5556
0.606,0.645,0.678,"IN","PartTime",0
0.812,0.845,0.85,"IN","PartTime",1
0.598,0.668,0.685,"IN","PartTime",0.25
0.583,0.649,0.667,"IN","PartTime",0.7273
0.59,0.663,0.661,"IN","PartTime",0.7273
0.565,0.626,0.657,"IN","PartTime",0.4156
0.682,0.715,0.736,"IN","PartTime",0.4785
0.375,0.399,0.419,"IN","PartTime",1
0.673,0.714,0.719,"IN","PartTime",0.4138
0.641,0.724,0.758,"IN","PartTime",0.2571
0.571,0.622,0.675,"IN","PartTime",0.55
0.595,0.665,0.715,"IN","PartTime",0.4167
0.595,0.639,0.67,"IN","PartTime",0.5385
0.532,0.623,0.639,"IN","PartTime",0.3333
0.725,0.768,0.793,"IN","PartTime",0.6842
0.527,0.597,0.639,"IN","PartTime",0.3824
0.568,0.648,0.706,"IN","PartTime",0.5085
0.539,0.568,0.579,"IN","PartTime",0.3158
0.291,0.393,0.431,"IN","PartTime",0.3
0.525,0.591,0.594,"IN","PartTime",0
0.659,0.697,0.75,"IN","PartTime",0
0.503,0.586,0.601,"IN","PartTime",1
0.492,0.554,0.594,"IN","PartTime",1
0.676,0.707,0.712,"IA","PartTime",0
